DATAFLOW,MEASURE,ESTIMATE_TYPE,SEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1994-S2,630.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1995-S1,648.2,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1995-S2,661.2,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1996-S1,673.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1996-S2,686.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1997-S1,696.3,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1997-S2,710.6,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1998-S1,725.7,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1998-S2,739.5,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1999-S1,748.5,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,1999-S2,760.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2000-S1,779.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2000-S2,798.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2001-S1,818.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2001-S2,842.6,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2002-S1,860.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2002-S2,882.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2003-S1,912.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2003-S2,929.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2004-S1,939,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2004-S2,965,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2005-S1,993.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2005-S2,1011.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2006-S1,1025.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2006-S2,1044.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2007-S1,1076.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2007-S2,1098.6,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2008-S1,1119.6,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2008-S2,1158,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2009-S1,1187.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2009-S2,1226.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2010-S1,1250.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2010-S2,1275.2,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2011-S1,1304.7,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2011-S2,1330.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2012-S1,1349.2,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2012-S2,1396,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2013-S1,1420.9,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2013-S2,1437,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2014-S1,1454.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2014-S2,1477,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2015-S1,1483.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2015-S2,1500.5,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2016-S1,1516,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2016-S2,1533.4,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2017-S1,1543.2,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2017-S2,1569.6,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2018-S1,1585.3,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2018-S2,1605.5,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2019-S1,1634.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2019-S2,1658.4,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2020-S1,1713.9,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2020-S2,1711.6,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2021-S1,1737.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2021-S2,1748.4,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2022-S1,1769.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2022-S2,1807.7,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2023-S1,1838.1,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2023-S2,1888.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2024-S1,1923.4,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2024-S2,1975.8,,,
ABS:AWE(1.0.0),3,1,3,7,TOT,10,AUS,S,2025-S1,2010,,,
