DATAFLOW,MEASURE,INDEX,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,DECIMALS,OBS_COMMENT,BASE_PERIOD
ABS:CPI(2.0.0),1,10001,10,50,Q,1986-Q1,28.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1950-Q2,3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1950-Q1,2.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1949-Q4,2.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1949-Q3,2.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1949-Q2,2.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1949-Q1,2.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1948-Q4,2.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1948-Q3,2.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1955-Q1,4.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1954-Q4,4.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1954-Q3,4.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1954-Q2,4.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1954-Q1,4.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1953-Q4,4.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1953-Q3,4.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1953-Q2,4.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1953-Q1,4.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1952-Q4,4.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1952-Q3,4.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1952-Q2,4.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1952-Q1,4.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1951-Q4,4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1951-Q3,3.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1951-Q2,3.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1951-Q1,3.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1950-Q4,3.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1950-Q3,3.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1965-Q1,5.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1964-Q4,5.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1964-Q3,5.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1964-Q2,5.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1964-Q1,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1963-Q4,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1963-Q3,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1963-Q2,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1963-Q1,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1962-Q4,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1962-Q3,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1962-Q2,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1962-Q1,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1961-Q4,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1961-Q3,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1961-Q2,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1961-Q1,5.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1960-Q4,5.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1960-Q3,5.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1960-Q2,5.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1960-Q1,5.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1959-Q4,5.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1959-Q3,5.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1959-Q2,5.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1959-Q1,5.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1958-Q4,5.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1958-Q3,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1958-Q2,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1958-Q1,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1957-Q4,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1957-Q3,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1957-Q2,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1957-Q1,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1956-Q4,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1956-Q3,5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1956-Q2,4.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1956-Q1,4.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1955-Q4,4.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1955-Q3,4.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1955-Q2,4.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1985-Q4,28.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1985-Q3,27.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1985-Q2,27,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1985-Q1,26.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1984-Q4,26,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1984-Q3,25.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1984-Q2,25.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1984-Q1,25.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1983-Q4,25.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1983-Q3,24.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1983-Q2,24.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1983-Q1,23.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1982-Q4,23.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1982-Q3,22.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1982-Q2,21.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1982-Q1,21.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1981-Q4,21,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1981-Q3,20.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,1981-Q2,19.8,,,,,
