DATAFLOW,MEASURE,INDEX,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,DECIMALS,OBS_COMMENT,BASE_PERIOD
ABS:CPI(2.0.0),1,40053,10,50,Q,2018-Q1,76.8,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2018-Q2,77.15,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2018-Q3,77.85,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2018-Q4,78.33,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2019-Q1,78.87,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2019-Q2,79.56,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2019-Q3,80.1,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2019-Q4,80.49,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2020-Q1,80.81,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2020-Q2,81.06,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2020-Q3,81.3,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2020-Q4,81.89,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2021-Q1,82.77,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2021-Q2,83.4,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2021-Q3,84.57,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2021-Q4,86.58,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2022-Q1,87.24,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2022-Q2,88.35,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2022-Q3,90.21,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2022-Q4,91.66,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2023-Q1,92.57,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2023-Q2,93.34,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2023-Q3,94.28,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2023-Q4,95.35,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2024-Q1,95.66,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2024-Q2,96.14,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2024-Q3,97.24,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2024-Q4,97.82,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2025-Q1,98.35,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2025-Q2,98.91,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2025-Q3,99.94,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2025-Q4,100.89,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,2026-Q1,101.33,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,1997-Q2,42.66,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,1997-Q3,42.94,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,1997-Q4,43.19,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,1998-Q1,43.09,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,1998-Q2,43.48,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,1998-Q3,43.72,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,1998-Q4,43.86,,,,,
ABS:CPI(2.0.0),1,40053,10,50,Q,1999-Q1,43.95,,,,,
