DATAFLOW,MEASURE,INDEX,HOUSHOLD_TYPE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:LCI(1.0.0),1,131278,P1,50,Q,1998-Q2,26.3,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,1998-Q3,26.51,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,1998-Q4,26.72,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,1999-Q1,26.33,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,1999-Q2,26.27,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,1999-Q3,26.56,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,1999-Q4,27.01,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2000-Q1,28.64,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2000-Q2,29,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2000-Q3,33.59,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2000-Q4,34.86,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2001-Q1,35.31,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2001-Q2,31.33,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2001-Q3,30.68,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2001-Q4,29.55,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2002-Q1,30.09,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2002-Q2,29.08,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2002-Q3,31.78,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2002-Q4,32.63,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2003-Q1,33.43,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2003-Q2,34.27,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2003-Q3,35.18,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2003-Q4,36.35,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2004-Q1,39.6,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2004-Q2,41.15,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2004-Q3,42.2,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2004-Q4,43.22,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2005-Q1,44.16,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2005-Q2,46.47,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2005-Q3,47.46,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2005-Q4,47.46,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2006-Q1,49.13,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2006-Q2,50.41,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2006-Q3,52.88,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2006-Q4,55.54,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2007-Q1,57.63,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2007-Q2,59.12,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2007-Q3,61.9,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2007-Q4,63.48,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2008-Q1,68.18,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2008-Q2,74.14,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2008-Q3,75.89,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2008-Q4,73.16,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2009-Q1,65.31,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2009-Q2,50.45,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2009-Q3,50.46,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2009-Q4,52.68,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2010-Q1,57.84,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2010-Q2,63.36,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2010-Q3,66.68,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2010-Q4,68.53,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2011-Q1,71.56,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2011-Q2,72.47,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2011-Q3,72.86,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2011-Q4,73.13,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2012-Q1,70.13,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2012-Q2,69.76,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2012-Q3,65.37,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2012-Q4,64.12,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2013-Q1,61.55,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2013-Q2,60.93,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2013-Q3,58.66,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2013-Q4,56.87,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2014-Q1,57.53,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2014-Q2,57.94,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2014-Q3,58.2,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2014-Q4,58.76,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2015-Q1,58.72,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2015-Q2,56.93,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2015-Q3,55.73,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2015-Q4,56.39,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2016-Q1,58.01,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2016-Q2,57.85,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2016-Q3,55.56,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2016-Q4,54.05,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2017-Q1,54.91,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2017-Q2,55.03,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2017-Q3,56.16,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2017-Q4,56.48,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2018-Q1,56.7,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2018-Q2,56.91,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2018-Q3,57.07,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2018-Q4,57.84,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2019-Q1,58,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2019-Q2,58.01,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2019-Q3,53.69,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2019-Q4,51.05,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2020-Q1,49.79,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2020-Q2,47.32,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2020-Q3,44.23,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2020-Q4,43.3,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2021-Q1,42.31,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2021-Q2,41.33,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2021-Q3,40.64,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2021-Q4,40,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2022-Q1,40.03,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2022-Q2,41.03,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2022-Q3,50.93,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2022-Q4,64.55,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2023-Q1,71.65,,,,
ABS:LCI(1.0.0),1,131278,P1,50,Q,2023-Q2,78.64,,,,
