DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2011-Q3,490.8,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2011-Q4,486.9,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2012-Q1,488.6,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2012-Q2,489.9,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2012-Q3,486.3,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2012-Q4,496.4,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2013-Q1,501.1,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2013-Q2,508.1,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2013-Q3,515.5,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2013-Q4,532.7,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2014-Q1,539.3,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2014-Q2,547.5,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2014-Q3,553.5,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2014-Q4,568.7,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2015-Q1,579.3,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2015-Q2,600.1,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2015-Q3,611,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2015-Q4,611.6,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2016-Q1,609.3,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2016-Q2,619.5,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2016-Q3,628.6,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2016-Q4,651.6,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2017-Q1,665,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2017-Q2,678.8,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2017-Q3,676.4,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2017-Q4,689.7,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2018-Q1,688,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2018-Q2,681.1,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2018-Q3,671.7,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2018-Q4,661.4,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2019-Q1,646,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2019-Q2,649.3,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2019-Q3,668.8,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2019-Q4,686.8,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2020-Q1,694.7,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2020-Q2,689.4,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2020-Q3,706.7,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2020-Q4,738.9,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2021-Q1,778.3,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2021-Q2,813.9,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2021-Q3,865.7,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2021-Q4,916.8,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2022-Q1,930.6,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2022-Q2,921.2,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2022-Q3,890.5,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2022-Q4,891,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2023-Q1,890.9,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2023-Q2,914.9,,,,
ABS:RES_DWELL_ST(1.0.0),5,AUS,Q,2023-Q3,925.2,,,,
