DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1997-Q3,66.6,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1997-Q4,67.2,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1998-Q1,67.8,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1998-Q2,68.3,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1998-Q3,68.8,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1998-Q4,69.3,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1999-Q1,69.9,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1999-Q2,70.4,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1999-Q3,70.9,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,1999-Q4,71.4,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2000-Q1,71.8,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2000-Q2,72.5,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2000-Q3,73.1,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2000-Q4,73.8,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2001-Q1,74.5,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2001-Q2,75.2,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2001-Q3,75.7,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2001-Q4,76.3,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2002-Q1,76.9,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2002-Q2,77.5,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2002-Q3,78.2,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2002-Q4,78.9,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2003-Q1,79.7,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2003-Q2,80.3,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2003-Q3,81,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2003-Q4,81.8,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2004-Q1,82.5,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2004-Q2,83.2,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2004-Q3,83.9,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2004-Q4,84.8,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2005-Q1,85.7,,,,
ABS:WPI(1.2.0),1,THRPEB,7,TOT,20,AUS,Q,2005-Q2,86.6,,,,
